pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,ttv_flag,pl_ratdor,pl_ratror,pl_occdep,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
11 Com b,11 Com,1,2,1,0,Radial Velocity,2007,2008-01,Ground,Xinglong Station,2.16 m Telescope,Published Confirmed,0,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,326.03,1.29,,,6165.6,19.40000,Msini,,0.231,,,,0,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742.0,19.0,2.7,-0.350,[Fe/H],2.243,2.31,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,4.7230700,2.2820000,4.4403800,2014-05-14,2008-01,2014-05-14
11 UMi b,11 UMi,1,1,1,0,Radial Velocity,2009,2009-10,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,516.21997,1.53,,,4684.8142,14.74000,Msini,,0.08,,,,0,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213.0,29.79,2.78,-0.020,[Fe/H],,1.93,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,5.0130000,1.9390000,4.5621600,2018-09-04,2017-03,2018-09-06
14 And b,14 And,1,1,1,0,Radial Velocity,2008,2008-12,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84,0.83,,,1525.5,4.80000,Msini,,0.0,,,,0,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813.0,11.0,2.2,-0.240,[Fe/H],1.763,2.63,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,5.2313300,2.3310000,4.9178100,2014-05-14,2008-12,2014-05-14
14 Her b,14 Her,1,1,1,0,Radial Velocity,2002,2003-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1773.40002,2.93,,,1481.0878,4.66000,Msini,,0.37,,,,0,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5338.0,0.93,0.9,0.410,[Fe/H],,4.45,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,6.6193500,4.7140000,6.3830000,2018-09-04,2017-03,2018-09-06
16 Cyg B b,16 Cyg B,1,3,1,0,Radial Velocity,1996,1997-07,Ground,Multiple Observatories,Multiple Telescopes,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.5,1.66,,,565.7374,1.78000,Msini,,0.68,,,,0,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750.0,1.13,1.08,0.060,[Fe/H],,4.36,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,6.2150000,4.6510000,6.0642800,2018-09-04,2017-03,2018-09-06
18 Del b,18 Del,1,2,1,0,Radial Velocity,2008,2008-06,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,993.3,2.6,,,3273.5,10.30000,Msini,,0.08,,,,0,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,G6 III,4979.0,8.5,2.3,-0.052,[Fe/H],1.602,2.82,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,5.5104800,3.3660000,5.2747600,2014-05-14,2008-06,2014-05-14
24 Boo b,24 Boo,1,1,1,0,Radial Velocity,2018,2018-08,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,Published Confirmed,0,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,30.3506,0.19,,,289.2253,0.91000,Msini,,0.042,,,,0,,,,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,G3 IV,4893.0,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,5.5900000,3.1590000,5.3339000,2018-04-25,2018-08,2018-04-26
24 Sex b,24 Sex,1,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,452.8,1.333,,,632.46,1.99000,Msini,,0.09,,,,0,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098.0,4.9,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,6.4535000,4.2850000,6.2037400,2014-05-14,2011-01,2014-05-14
24 Sex c,24 Sex,1,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,883.0,2.08,,,273.32,0.86000,Msini,,0.29,,,,0,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098.0,4.9,1.54,-0.030,[Fe/H],1.164,3.50,2.700,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,6.4535000,4.2850000,6.2037400,2014-05-14,2011-01,2014-05-14
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,0,Imaging,2013,2013-05,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,Published Confirmed,0,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,,84.0,,,4131.79,13.00000,Mass,,,,,,0,,,,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,M5.5/M6,,,0.19,,,,,0.030,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,15.7880000,9.2370010,,2020-09-08,2013-05,2020-09-03
